0x01010100;ARDUINO_0
0x01010101;ARDUINO_1
0x01010102;ARDUINO_2
0x01010103;ARDUINO_3
0x01010104;ARDUINO_4
0x43001000;CORE_CONTROLLER
0x43001005;SYSTEM_STATE_TASK
0x43005000;RS485_CONTROLLER
0x49001F00;DUMMY_GPS_COM_IF
0x49005200;RS232_DEVICE_COM_IF
0x49005300;I2C_DEVICE_COM_IF
0x49005400;GPIO_DEVICE_COM_IF
0x49005410;SPI_POLLING_TASK
0x49005600;SPI_DEVICE_COM_IF
0x4900AFFE;DUMMY_ECHO_COM_IF
0x4D0073AD;SD_CARD_HANDLER
0x4D008000;FRAM_HANDLER
0x4D009000;SOFTWARE_IMAGE_HANDLER
0x50000300;UDP_TMTC_BRIDGE
0x50000400;EMAC_POLLING_TASK
0x50000500;SERIAL_TMTC_BRIDGE
0x50000550;SERIAL_RING_BUFFER
0x50000600;SERIAL_POLLING_TASK
0x53000000;FSFW_OBJECTS_START
0x53000001;PUS_SERVICE_1_VERIFICATION
0x53000002;PUS_SERVICE_2_DEVICE_ACCESS
0x53000003;PUS_SERVICE_3_HOUSEKEEPING
0x53000005;PUS_SERVICE_5_EVENT_REPORTING
0x53000008;PUS_SERVICE_8_FUNCTION_MGMT
0x53000009;PUS_SERVICE_9_TIME_MGMT
0x53000017;PUS_SERVICE_17_TEST
0x53000020;PUS_SERVICE_20_PARAMETERS
0x53000200;PUS_SERVICE_200_MODE_MGMT
0x53000201;PUS_SERVICE_201_HEALTH
0x53010000;HEALTH_TABLE
0x53010100;MODE_STORE
0x53030000;EVENT_MANAGER
0x53040000;INTERNAL_ERROR_REPORTER
0x534f0100;TC_STORE
0x534f0200;TM_STORE
0x534f0300;IPC_STORE
0x53500010;TIME_STAMPER
0x53ffffff;FSFW_OBJECTS_END
0x62000001;LED_TASK
0x62007401;AT91_I2C_TEST_TASK
0x62007402;AT91_UART0_TEST_TASK
0x62007403;AT91_UART2_TEST_TASK
0x62007404;AT91_SPI_TEST_TASK
0xFFFFFFFF;NO_OBJECT
